sample	integrated_mtbc_status	mtbc_support_source	kraken_mtbc_supported	kraken_species	kraken_mtbc_reads	mtbc_percent	tbprofiler_lineage_status	tbprofiler_main_lineage	tbprofiler_sub_lineage	lineage_group	resistance_profile	drug_resistance_detected	resistant_drugs	mean_depth	selected_for_phylogeny	included_in_tree	selection_basis	tbprofiler_status
ERR159958	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	788165	99.14	Resolved by TB-Profiler	lineage7	lineage7	L7	No resistance detected by TB-Profiler	NO	None reported	23.21	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR16977976	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1838999	99.69	Resolved by TB-Profiler	lineage3	lineage3	L3	MDR-TB	YES	rifampicin, streptomycin, isoniazid	70.06	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR16977977	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1801017	99.54	Resolved by TB-Profiler	lineage3	lineage3	L3	MDR-TB	YES	rifampicin, isoniazid, ethambutol	80.15	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR6397156	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	2603505	99.14	Resolved by TB-Profiler	lineage3	lineage3	L3	No resistance detected by TB-Profiler	NO	None reported	84.87	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR7732708	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	820090	98.96	Resolved by TB-Profiler	lineage4	lineage4.2.2.2	L4	MDR-TB	YES	rifampicin, isoniazid, ethambutol, ethionamide	53.86	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR7737675	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	848386	99.23	Resolved by TB-Profiler	lineage4	lineage4.2.2.2	L4	MDR-TB	YES	rifampicin, isoniazid, pyrazinamide, ethambutol, ethionamide	53.14	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR7737720	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	982806	98.80	Resolved by TB-Profiler	lineage4	lineage4.2.2.2	L4	MDR-TB	YES	rifampicin, isoniazid, pyrazinamide, ethambutol, ethionamide	62.18	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR7737735	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	878449	98.73	Resolved by TB-Profiler	lineage4	lineage4.2.2.2	L4	MDR-TB	YES	rifampicin, isoniazid, pyrazinamide	53.82	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR7737796	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1073236	98.88	Resolved by TB-Profiler	lineage4	lineage4.2.2.2	L4	MDR-TB	YES	rifampicin, isoniazid, pyrazinamide, ethambutol	69.15	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR7737844	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1157607	98.87	Resolved by TB-Profiler	lineage3	lineage3	L3	MDR-TB	YES	rifampicin, streptomycin, isoniazid, pyrazinamide, ethambutol	73.49	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR7737855	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	800407	98.53	Resolved by TB-Profiler	lineage4	lineage4.2.2.2	L4	MDR-TB	YES	rifampicin, isoniazid, ethambutol, ethionamide	49.19	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR7737882	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	757033	98.98	Resolved by TB-Profiler	lineage4	lineage4.2.2.2	L4	MDR-TB	YES	rifampicin, isoniazid, pyrazinamide, ethambutol, ethionamide	47.36	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR7737903	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	953494	99.05	Resolved by TB-Profiler	lineage3	lineage3	L3	MDR-TB	YES	rifampicin, isoniazid, para-aminosalicylic acid	60.83	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR27332294	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	363420	99.45	Resolved by TB-Profiler	lineage4	lineage4.2.2.2	L4	No resistance detected by TB-Profiler	NO	None reported	23.57	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR27332298	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1279379	99.10	Resolved by TB-Profiler	lineage4	lineage4.2.2.2	L4	No resistance detected by TB-Profiler	NO	None reported	81.92	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR27332311	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1044270	99.27	Resolved by TB-Profiler	lineage4	lineage4.2.2.2	L4	No resistance detected by TB-Profiler	NO	None reported	67.50	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR27332314	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	943161	99.47	Resolved by TB-Profiler	lineage4	lineage4.6.3	L4	No resistance detected by TB-Profiler	NO	None reported	60.94	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR28821447	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	913653	99.25	Resolved by TB-Profiler	lineage4	lineage4.2.2.2	L4	No resistance detected by TB-Profiler	NO	None reported	52.29	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR28821488	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1102193	98.59	Resolved by TB-Profiler	lineage4	lineage4.3.3	L4	No resistance detected by TB-Profiler	NO	None reported	63.93	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR28821666	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1389943	97.24	Resolved by TB-Profiler	lineage3	lineage3	L3	No resistance detected by TB-Profiler	NO	None reported	80.15	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR28821687	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1190501	91.99	Resolved by TB-Profiler	lineage4	lineage4.2.2.2	L4	No resistance detected by TB-Profiler	NO	None reported	65.14	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR29096341	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	842904	99.40	Resolved by TB-Profiler	lineage3	lineage3.1.1	L3	MDR-TB	YES	rifampicin, streptomycin, isoniazid, pyrazinamide, ethambutol	51.84	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR29096556	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	847855	99.35	Resolved by TB-Profiler	lineage3	lineage3.1.1	L3	MDR-TB	YES	rifampicin, streptomycin, isoniazid, pyrazinamide, ethambutol	52.53	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR30519418	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1250615	99.05	Resolved by TB-Profiler	lineage4	lineage4.1.2.1	L4	No resistance detected by TB-Profiler	NO	None reported	68.54	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR30519425	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	813352	99.44	Resolved by TB-Profiler	lineage4	lineage4.6.3	L4	No resistance detected by TB-Profiler	NO	None reported	44.31	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR30519430	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1119778	99.16	Resolved by TB-Profiler	lineage4	lineage4.2.2.2	L4	No resistance detected by TB-Profiler	NO	None reported	61.25	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR30519437	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1275481	99.32	Resolved by TB-Profiler	lineage4	lineage4.3.4.1	L4	No resistance detected by TB-Profiler	NO	None reported	70.96	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR31228984	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	2913200	99.52	Resolved by TB-Profiler	lineage4	lineage4.2.2.2	L4	No resistance detected by TB-Profiler	NO	None reported	183.67	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
