sample	integrated_mtbc_status	mtbc_support_source	kraken_mtbc_supported	kraken_species	kraken_mtbc_reads	mtbc_percent	tbprofiler_lineage_status	tbprofiler_main_lineage	tbprofiler_sub_lineage	lineage_group	resistance_profile	drug_resistance_detected	resistant_drugs	mean_depth	selected_for_phylogeny	included_in_tree	selection_basis	tbprofiler_status
0000_ERR14370750	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	2489585	99.37	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	MDR-TB	YES	rifampicin, streptomycin, ethionamide, isoniazid, pyrazinamide, ethambutol	149.29	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0001_ERR14370934	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	3296842	71.45	Resolved by TB-Profiler	lineage2	lineage2.2.2	L2	Pre-XDR-TB	YES	levofloxacin, moxifloxacin, rifampicin, streptomycin, ethionamide, isoniazid, pyrazinamide, ethambutol	176.50	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0002_ERR14371053	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	6501821	98.33	Resolved by TB-Profiler	lineage2	lineage2.2.2	L2	Pre-XDR-TB	YES	levofloxacin, moxifloxacin, rifampicin, streptomycin, ethionamide, isoniazid, pyrazinamide, ethambutol	310.75	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0003_ERR14371121	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	6703024	98.88	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	Pre-XDR-TB	YES	levofloxacin, moxifloxacin, rifampicin, ethionamide, isoniazid, pyrazinamide, ethambutol	308.82	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0004_ERR15166681	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	2456432	97.34	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	Pre-XDR-TB	YES	levofloxacin, moxifloxacin, rifampicin, streptomycin, ethionamide, isoniazid, pyrazinamide, ethambutol	141.35	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0005_ERR16097103	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1462017	99.54	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	MDR-TB	YES	rifampicin, streptomycin, isoniazid, pyrazinamide, ethambutol	83.04	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0006_SRR13870376	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	906824	99.26	Resolved by TB-Profiler	lineage4	lineage4.3.3	L4	Pre-XDR-TB	YES	levofloxacin, moxifloxacin, rifampicin, capreomycin, isoniazid, pyrazinamide, ethambutol, ethionamide, streptomycin	64.78	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0007_SRR13870395	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1330724	99.06	Resolved by TB-Profiler	lineage4	lineage4.1.1.3	L4	MDR-TB	YES	rifampicin, isoniazid, ethambutol, ethionamide	85.28	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0008_SRR24222987	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1103465	99.62	Resolved by TB-Profiler	lineage6	lineage6.3.1	L6	Hr-TB	YES	isoniazid	68.99	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0009_SRR28351210	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	2214285	99.50	Resolved by TB-Profiler	lineage4	lineage4.2.1	L4	MDR-TB	YES	rifampicin, streptomycin, ethionamide, isoniazid, pyrazinamide, kanamycin, ethambutol	136.99	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
