sample	integrated_mtbc_status	mtbc_support_source	kraken_mtbc_supported	kraken_species	kraken_mtbc_reads	mtbc_percent	tbprofiler_lineage_status	tbprofiler_main_lineage	tbprofiler_sub_lineage	lineage_group	resistance_profile	drug_resistance_detected	resistant_drugs	mean_depth	selected_for_phylogeny	included_in_tree	selection_basis	tbprofiler_status
0000_ERR12115322	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1474265	99.45	Resolved by TB-Profiler	lineage3	lineage3.1.1	L3	No resistance detected by TB-Profiler	NO	None reported	87.28	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0001_ERR15278530	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1880624	98.70	Resolved by TB-Profiler	lineage3	lineage3.1.1	L3	RR-TB	YES	rifampicin, pyrazinamide	106.57	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0002_ERR15278570	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1507286	97.93	Resolved by TB-Profiler	lineage3	lineage3.1.1	L3	MDR-TB	YES	rifampicin, streptomycin, isoniazid, pyrazinamide, ethambutol, ethionamide	78.24	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0003_ERR1679657	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	449999	99.39	Resolved by TB-Profiler	lineage4	lineage4.6.2.2	L4	No resistance detected by TB-Profiler	NO	None reported	37.27	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0004_ERR4143897	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	803523	99.38	Not resolved by TB-Profiler	Not resolved by TB-Profiler	Not resolved by TB-Profiler	Not resolved by TB-Profiler	Resistance not determined by TB-Profiler	NO	None reported	47.38	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage not resolved	success
0005_ERR4143898	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	724719	99.47	Not resolved by TB-Profiler	Not resolved by TB-Profiler	Not resolved by TB-Profiler	Not resolved by TB-Profiler	Resistance not determined by TB-Profiler	NO	None reported	56.87	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage not resolved	success
0006_ERR4423502	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1359686	97.92	Resolved by TB-Profiler	lineage4	lineage4.6.2.2	L4	RR-TB	YES	rifampicin	45.79	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0007_ERR4423787	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1134457	99.56	Resolved by TB-Profiler	lineage4	lineage4.6.2.2	L4	MDR-TB	YES	rifampicin, streptomycin, isoniazid, ethambutol, ethionamide	70.47	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0008_ERR7801197	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1327109	99.34	Resolved by TB-Profiler	lineage4	lineage4.3.4.2	L4	No resistance detected by TB-Profiler	NO	None reported	75.85	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0009_ERR7801266	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	978581	98.74	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	No resistance detected by TB-Profiler	NO	None reported	51.80	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
