sample	alignment_length	acgt_count	missing_count	missing_fraction
0000_ERR108145	4805	4735	70	0.014568
0001_ERR108168	4805	4721	84	0.017482
0002_ERR108173	4805	4710	95	0.019771
0003_ERR108186	4805	4722	83	0.017274
0004_ERR15278530	4805	4748	57	0.011863
0005_ERR1633819	4805	4693	112	0.023309
0006_ERR1633828	4805	4686	119	0.024766
0007_ERR1679657	4805	4491	314	0.065349
0008_ERR17070187	4805	4712	93	0.019355
0009_ERR17070204	4805	4720	85	0.017690
0010_ERR171147	4805	4740	65	0.013528
0011_ERR171149	4805	4701	104	0.021644
0012_ERR171152	4805	4735	70	0.014568
0013_ERR171153	4805	4714	91	0.018939
0014_ERR7801260	4805	4646	159	0.033091
0015_ERR8774265	4805	4686	119	0.024766
0016_SRR1062841	4805	4670	135	0.028096
0017_SRR1062843	4805	4661	144	0.029969
0018_SRR1140949	4805	4693	112	0.023309
0019_SRR3055715	4805	4347	458	0.095317
0020_SRR3055717	4805	4537	268	0.055775
0021_SRR3724754	4805	4571	234	0.048699
0022_SRR3724765	4805	4517	288	0.059938
0023_SRR4034515	4805	4637	168	0.034964
0024_SRR4034592	4805	4495	310	0.064516
Reference	4805	4800	5	0.001041
