sample	alignment_length	acgt_count	missing_count	missing_fraction
0000_ERR12115322	20040	19810	230	0.011477
0001_ERR15278530	20040	19855	185	0.009232
0002_ERR15278570	20040	19764	276	0.013772
0003_ERR1679657	20040	18988	1052	0.052495
0004_ERR4143897	20040	19171	869	0.043363
0005_ERR4143898	20040	19244	796	0.039721
0006_ERR4423502	20040	19596	444	0.022156
0007_ERR4423787	20040	19625	415	0.020709
0008_ERR7801197	20040	19670	370	0.018463
0009_ERR7801266	20040	19642	398	0.019860
0010_ERR8774298	20040	19683	357	0.017814
0011_ERR970411	20040	19557	483	0.024102
0012_ERR970412	20040	18688	1352	0.067465
0013_SRR25473321	20040	19263	777	0.038772
0014_SRR25473322	20040	19506	534	0.026647
0015_SRR33589037	20040	19396	644	0.032136
0018_SRR3500411	20040	19570	470	0.023453
0019_SRR35607791	20040	19512	528	0.026347
0020_SRR36978480	20040	19380	660	0.032934
0021_SRR38137702	20040	19206	834	0.041617
0022_SRR38137799	20040	19146	894	0.044611
0023_SRR38143336	20040	19314	726	0.036228
0024_SRR38143613	20040	19617	423	0.021108
0025_SRR38143619	20040	19293	747	0.037275
0026_SRR38143823	20040	19349	691	0.034481
0027_SRR38143903	20040	18996	1044	0.052096
0028_SRR38405739	20040	19408	632	0.031537
0029_SRR38438549	20040	19690	350	0.017465
Reference	20040	19994	46	0.002295
