sample	alignment_length	acgt_count	missing_count	missing_fraction
0000_ERR10112879	6600	6467	133	0.020152
0001_ERR10112899	6600	6495	105	0.015909
0002_ERR10112906	6600	6450	150	0.022727
0003_ERR108149	6600	6493	107	0.016212
0004_ERR108155	6600	6468	132	0.020000
0005_ERR14370745	6600	6284	316	0.047879
0006_ERR14370807	6600	6488	112	0.016970
0007_ERR14370882	6600	6367	233	0.035303
0008_ERR14985255	6600	6510	90	0.013636
0009_ERR14985278	6600	6532	68	0.010303
0010_ERR15827596	6600	5250	1350	0.204545
0011_ERR15827597	6600	5229	1371	0.207727
0012_ERR1633838	6600	6463	137	0.020758
0013_ERR1633859	6600	5877	723	0.109545
0014_ERR16708478	6600	6463	137	0.020758
0015_ERR16708641	6600	6372	228	0.034545
0016_ERR16708648	6600	6070	530	0.080303
0017_ERR16708726	6600	6490	110	0.016667
0018_ERR16708840	6600	6473	127	0.019242
0019_ERR16708843	6600	6490	110	0.016667
0020_ERR16708861	6600	6514	86	0.013030
0021_ERR16708876	6600	6457	143	0.021667
0022_ERR16709394	6600	6470	130	0.019697
0023_ERR16709396	6600	6486	114	0.017273
0024_ERR16709409	6600	6482	118	0.017879
0025_ERR16834572	6600	6469	131	0.019848
0026_ERR16915221	6600	6452	148	0.022424
0027_ERR16950335	6600	6487	113	0.017121
0028_ERR16950355	6600	6491	109	0.016515
0029_ERR17036257	6600	6496	104	0.015758
0030_ERR17036273	6600	6489	111	0.016818
0031_ERR17036280	6600	6533	67	0.010152
0032_ERR17050895	6600	6518	82	0.012424
0033_ERR17050897	6600	6344	256	0.038788
0034_ERR17070185	6600	6480	120	0.018182
0035_ERR17070195	6600	6460	140	0.021212
0036_ERR17090777	6600	6535	65	0.009848
0037_ERR17090790	6600	6498	102	0.015455
0038_ERR17090791	6600	6513	87	0.013182
0039_ERR7737945	6600	6483	117	0.017727
0040_ERR8025420	6600	6460	140	0.021212
0041_SRR10869058	6600	6440	160	0.024242
0042_SRR10869317	6600	6405	195	0.029545
0043_SRR10869318	6600	6453	147	0.022273
0044_SRR32132077	6600	6498	102	0.015455
0045_SRR32132079	6600	6470	130	0.019697
0046_SRR32132083	6600	6499	101	0.015303
Reference	6600	6599	1	0.000152
