sample	alignment_length	acgt_count	missing_count	missing_fraction
0000_ERR15418583	7322	6684	638	0.087135
0001_ERR15418585	7322	7096	226	0.030866
0002_ERR15418587	7322	7185	137	0.018711
0003_ERR1679586	7322	7117	205	0.027998
0004_ERR1679587	7322	6993	329	0.044933
0005_ERR1679631	7322	6944	378	0.051625
0006_ERR1679632	7322	6180	1142	0.155968
0007_ERR1679633	7322	5860	1462	0.199672
0008_ERR1679634	7322	7029	293	0.040016
0009_ERR1679635	7322	7063	259	0.035373
0010_ERR1679636	7322	7080	242	0.033051
0011_ERR1679637	7322	6941	381	0.052035
0012_ERR1679638	7322	7056	266	0.036329
0013_ERR1679640	7322	5377	1945	0.265638
0014_ERR1679641	7322	5715	1607	0.219476
0015_ERR1679642	7322	6948	374	0.051079
0016_ERR1679643	7322	7100	222	0.030320
0017_ERR1679644	7322	6996	326	0.044523
0018_ERR1679645	7322	6869	453	0.061868
0019_ERR1679649	7322	6989	333	0.045479
0020_ERR1679656	7322	6875	447	0.061049
0021_ERR1679657	7322	6928	394	0.053810
0022_ERR4423502	7322	7125	197	0.026905
0023_ERR4423640	7322	6382	940	0.128380
0024_ERR4423691	7322	6918	404	0.055176
0025_ERR4423787	7322	7143	179	0.024447
0026_ERR4829982	7322	7121	201	0.027452
0027_ERR4829984	7322	7155	167	0.022808
0028_ERR4829998	7322	7117	205	0.027998
0029_ERR4830013	7322	7171	151	0.020623
0030_ERR8774265	7322	7141	181	0.024720
0031_ERR8774298	7322	7184	138	0.018847
0032_ERR8774308	7322	7147	175	0.023901
0033_ERR8774422	7322	7088	234	0.031958
0034_ERR8774496	7322	7117	205	0.027998
0035_ERR8774505	7322	7154	168	0.022945
0036_SRR10993933	7322	6298	1024	0.139852
0038_SRR10993948	7322	6965	357	0.048757
0039_SRR10993956	7322	6600	722	0.098607
0041_SRR24783284	7322	7184	138	0.018847
0042_SRR29056126	7322	5753	1569	0.214286
0043_SRR29163950	7322	7164	158	0.021579
0044_SRR29163952	7322	6819	503	0.068697
0045_SRR29163957	7322	7159	163	0.022262
0046_SRR29163972	7322	7163	159	0.021715
0047_SRR29341580	7322	7182	140	0.019120
Reference	7322	7319	3	0.000410
