sample	integrated_mtbc_status	mtbc_support_source	kraken_mtbc_supported	kraken_species	kraken_mtbc_reads	mtbc_percent	tbprofiler_lineage_status	tbprofiler_main_lineage	tbprofiler_sub_lineage	lineage_group	resistance_profile	drug_resistance_detected	resistant_drugs	mean_depth	selected_for_phylogeny	included_in_tree	selection_basis	tbprofiler_status
0000_ERR12115322	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1474265	99.45	Resolved by TB-Profiler	lineage3	lineage3.1.1	L3	No resistance detected by TB-Profiler	NO	None reported	87.28	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0001_ERR15278529	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1501936	97.85	Resolved by TB-Profiler	lineage4	lineage4.3.3	L4	MDR-TB	YES	rifampicin, isoniazid, ethionamide	86.43	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0002_ERR15278530	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1880624	98.70	Resolved by TB-Profiler	lineage3	lineage3.1.1	L3	RR-TB	YES	rifampicin, pyrazinamide	106.57	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0003_ERR15278547	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1528028	98.57	Resolved by TB-Profiler	lineage1	lineage1.1.2	L1	MDR-TB	YES	rifampicin, isoniazid	85.43	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0004_ERR15278558	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	881271	98.59	Resolved by TB-Profiler	lineage4	lineage4.2.2.2	L4	RR-TB	YES	rifampicin	49.18	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0005_ERR15278570	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1507286	97.93	Resolved by TB-Profiler	lineage3	lineage3.1.1	L3	MDR-TB	YES	rifampicin, streptomycin, isoniazid, pyrazinamide, ethambutol, ethionamide	78.24	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0006_ERR4423684	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	528302	98.77	Resolved by TB-Profiler	lineage3	lineage3.1.1	L3	MDR-TB	YES	rifampicin, isoniazid, pyrazinamide, ethambutol, streptomycin	26.91	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0007_ERR4423685	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	752783	98.98	Resolved by TB-Profiler	lineage3	lineage3.1.1	L3	MDR-TB	YES	rifampicin, isoniazid, pyrazinamide, ethambutol, streptomycin	29.04	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0008_ERR7801121	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1546952	98.69	Resolved by TB-Profiler	lineage4	lineage4.6.1.1	L4	No resistance detected by TB-Profiler	NO	None reported	63.53	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0009_ERR7801145	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1538599	99.04	Resolved by TB-Profiler	lineage4	lineage4.3.4.2.1	L4	No resistance detected by TB-Profiler	NO	None reported	67.32	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
