sample	alignment_length	acgt_count	missing_count	missing_fraction
0000_ERR987734	4410911	4169159	241752	0.054808
0001_ERR987745	4410911	4245173	165738	0.037575
0002_ERR987751	4410911	4197455	213456	0.048393
0003_SRR12634542	4410911	4229027	181884	0.041235
0004_SRR12634557	4410911	4220248	190663	0.043225
0005_SRR12634558	4410911	4218428	192483	0.043638
0006_SRR12634576	4410911	4218861	192050	0.043540
0007_SRR12634577	4410911	4229666	181245	0.041090
0008_SRR12634584	4410911	4217559	193352	0.043835
0009_SRR12634587	4410911	4180688	230223	0.052194
0010_SRR12634599	4410911	4157411	253500	0.057471
0011_SRR12634602	4410911	4193853	217058	0.049209
0012_SRR12634605	4410911	4174260	236651	0.053651
0013_SRR12634610	4410911	4185856	225055	0.051022
0014_SRR12634616	4410911	4145205	265706	0.060238
0015_SRR12634618	4410911	4157065	253846	0.057550
0016_SRR12634620	4410911	4214854	196057	0.044448
0017_SRR12634623	4410911	4201388	209523	0.047501
0018_SRR12634625	4410911	4203634	207277	0.046992
0021_SRR35699165	4410911	2941770	1469141	0.333070
0022_SRR35699168	4410911	3645283	765628	0.173576
0023_SRR35699169	4410911	2688612	1722299	0.390463
0025_SRR35699174	4410911	2396914	2013997	0.456594
0026_SRR35699180	4410911	3124760	1286151	0.291584
0027_SRR35699185	4410911	3150574	1260337	0.285732
0028_SRR36942077	4410911	4323674	87237	0.019778
0029_SRR36942083	4410911	4313181	97730	0.022156
0030_SRR36942094	4410911	4316138	94773	0.021486
0031_SRR36942111	4410911	4310603	100308	0.022741
0032_SRR36942121	4410911	4317884	93027	0.021090
0033_SRR36942122	4410911	4332385	78526	0.017803
0034_SRR36942129	4410911	4290953	119958	0.027196
0035_SRR36942141	4410911	4309198	101713	0.023059
0036_SRR36942156	4410911	4309988	100923	0.022880
0037_SRR36942161	4410911	4323745	87166	0.019761
0038_SRR36942188	4410911	4322457	88454	0.020053
0039_SRR36942189	4410911	4323866	87045	0.019734
0040_SRR36942245	4410911	4323705	87206	0.019771
0041_SRR36942255	4410911	4317345	93566	0.021212
0042_SRR36942256	4410911	4334201	76710	0.017391
0043_SRR36942257	4410911	4316489	94422	0.021406
0044_SRR36942258	4410911	4307200	103711	0.023512
Reference	4410911	4410911	0	0.000000
