sample	integrated_mtbc_status	mtbc_support_source	kraken_mtbc_supported	kraken_species	kraken_mtbc_reads	mtbc_percent	tbprofiler_lineage_status	tbprofiler_main_lineage	tbprofiler_sub_lineage	lineage_group	resistance_profile	drug_resistance_detected	resistant_drugs	mean_depth	selected_for_phylogeny	included_in_tree	selection_basis	tbprofiler_status
0000_ERR11775007	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	782390	99.11	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	MDR-TB	YES	rifampicin, streptomycin, ethionamide, isoniazid, pyrazinamide	47.14	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0001_ERR11775757	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1058674	99.46	Resolved by TB-Profiler	lineage4	lineage4.1.2	L4	No resistance detected by TB-Profiler	NO	None reported	66.77	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0002_ERR13907110	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	418308	71.31	Resolved by TB-Profiler	lineage4	lineage4.1.2.1	L4	Monoresistance	YES	ethambutol	25.68	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0003_ERR13962884	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1821028	99.61	Resolved by TB-Profiler	lineage4	lineage4.9	L4	Monoresistance	YES	linezolid	86.12	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0004_ERR14936898	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	900760	99.05	Resolved by TB-Profiler	lineage4	lineage4	L4	Pre-XDR-TB	YES	levofloxacin, moxifloxacin, rifampicin, isoniazid, pyrazinamide, ethambutol	83.09	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0015_SRR23310852	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1372461	99.70	Resolved by TB-Profiler	lineage4	lineage4.3.3	L4	MDR-TB	YES	rifampicin, streptomycin, isoniazid, pyrazinamide, ethambutol	88.04	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0016_SRR23310856	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1476491	99.68	Resolved by TB-Profiler	lineage4	lineage4.2.1	L4	Pre-XDR-TB	YES	levofloxacin, moxifloxacin, rifampicin, streptomycin, ethionamide, isoniazid, pyrazinamide, kanamycin	93.21	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0017_SRR23310982	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	617152	52.14	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	MDR-TB	YES	rifampicin, streptomycin, isoniazid, pyrazinamide, ethionamide	36.80	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0019_SRR29477258	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	955948	97.17	Resolved by TB-Profiler	M.canetti	M.canetti	M.canetti M.canetti	Resistance not determined by TB-Profiler	NO	None reported	47.76	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage not resolved	success
0020_SRR30443484	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1056896	99.27	Resolved by TB-Profiler	La1	La1.2.BCG	L1	Monoresistance	YES	pyrazinamide	64.84	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0021_SRR30443678	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1319974	99.49	Resolved by TB-Profiler	La1	La1.8.1	L1	Monoresistance	YES	pyrazinamide	79.00	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
