sample	alignment_length	acgt_count	missing_count	missing_fraction
0000_ERR12115322	8476	8345	131	0.015455
0001_ERR15278529	8476	8330	146	0.017225
0002_ERR15278530	8476	8376	100	0.011798
0003_ERR15278547	8476	8273	203	0.023950
0004_ERR15278558	8476	8259	217	0.025602
0005_ERR15278570	8476	8327	149	0.017579
0006_ERR4423684	8476	7982	494	0.058282
0007_ERR4423685	8476	8080	396	0.046720
0008_ERR7801121	8476	8304	172	0.020293
0009_ERR7801145	8476	8195	281	0.033152
0010_ERR7801146	8476	8193	283	0.033388
0011_ERR7801159	8476	8284	192	0.022652
0012_ERR7801197	8476	8229	247	0.029141
0013_ERR7801212	8476	8258	218	0.025720
0014_ERR7801217	8476	8138	338	0.039877
0015_ERR7801257	8476	8275	201	0.023714
0016_ERR7801260	8476	8191	285	0.033624
0017_ERR7801266	8476	8260	216	0.025484
0018_ERR7801275	8476	8292	184	0.021708
0019_ERR7801283	8476	8230	246	0.029023
0020_SRR12882014	8476	8233	243	0.028669
0021_SRR12882354	8476	8245	231	0.027253
0022_SRR12882371	8476	8239	237	0.027961
0023_SRR12882580	8476	8260	216	0.025484
0024_SRR12882583	8476	8224	252	0.029731
0025_SRR12882700	8476	8324	152	0.017933
0026_SRR12882715	8476	8310	166	0.019585
0027_SRR1791710	8476	8085	391	0.046130
0028_SRR1791712	8476	7918	558	0.065833
0029_SRR19358248	8476	8198	278	0.032798
0030_SRR19392925	8476	7422	1054	0.124351
0031_SRR19392955	8476	8103	373	0.044007
0032_SRR19427024	8476	8139	337	0.039759
0033_SRR19428609	8476	8117	359	0.042355
0034_SRR19428630	8476	8235	241	0.028433
0035_SRR29096283	8476	8258	218	0.025720
0036_SRR29096542	8476	8371	105	0.012388
0037_SRR29096705	8476	8327	149	0.017579
Reference	8476	8469	7	0.000826
