sample	alignment_length	acgt_count	missing_count	missing_fraction
0000_ERR11775007	33921	33447	474	0.013974
0001_ERR11775757	33921	33663	258	0.007606
0002_ERR13907110	33921	30082	3839	0.113175
0003_ERR13962884	33921	33837	84	0.002476
0004_ERR14936898	33921	33371	550	0.016214
0015_SRR23310852	33921	33376	545	0.016067
0016_SRR23310856	33921	33487	434	0.012794
0017_SRR23310982	33921	33367	554	0.016332
0019_SRR29477258	33921	33580	341	0.010053
0020_SRR30443484	33921	33044	877	0.025854
0021_SRR30443678	33921	33082	839	0.024734
Reference	33921	33920	1	0.000029
