sample	alignment_length	acgt_count	missing_count	missing_fraction
0000_ERR159958	8044	6056	1988	0.247141
0001_ERR16977976	8044	7883	161	0.020015
0002_ERR16977977	8044	7919	125	0.015540
0003_ERR6397156	8044	7786	258	0.032074
0004_ERR7732708	8044	7880	164	0.020388
0005_ERR7737675	8044	7851	193	0.023993
0006_ERR7737720	8044	7871	173	0.021507
0007_ERR7737735	8044	7866	178	0.022128
0008_ERR7737796	8044	7890	154	0.019145
0009_ERR7737844	8044	7905	139	0.017280
0010_ERR7737855	8044	7817	227	0.028220
0011_ERR7737882	8044	7847	197	0.024490
0012_ERR7737903	8044	7894	150	0.018647
0013_SRR27332294	8044	7479	565	0.070239
0014_SRR27332298	8044	7803	241	0.029960
0015_SRR27332311	8044	7808	236	0.029339
0016_SRR27332314	8044	7851	193	0.023993
0017_SRR28821447	8044	7676	368	0.045748
0018_SRR28821488	8044	7728	316	0.039284
0019_SRR28821666	8044	7816	228	0.028344
0020_SRR28821687	8044	7828	216	0.026852
0021_SRR29096341	8044	7862	182	0.022626
0022_SRR29096556	8044	7862	182	0.022626
0023_SRR30519418	8044	7871	173	0.021507
0024_SRR30519425	8044	7772	272	0.033814
0025_SRR30519430	8044	7822	222	0.027598
0026_SRR30519437	8044	7804	240	0.029836
0027_SRR31228984	8044	7852	192	0.023869
0028_SRR31229087	8044	7761	283	0.035182
0029_SRR31322794	8044	7927	117	0.014545
0030_SRR31322795	8044	7931	113	0.014048
0031_SRR31322799	8044	7926	118	0.014669
0032_SRR31322815	8044	7936	108	0.013426
0033_SRR31322835	8044	7920	124	0.015415
0034_SRR31859060	8044	7695	349	0.043386
0035_SRR31859065	8044	7850	194	0.024117
0036_SRR32281539	8044	7468	576	0.071606
0037_SRR32861807	8044	7837	207	0.025733
0038_SRR32861810	8044	7816	228	0.028344
0039_SRR32861813	8044	7870	174	0.021631
0040_SRR32861817	8044	7192	852	0.105917
0041_SRR32861821	8044	7919	125	0.015540
0042_SRR32861823	8044	7800	244	0.030333
0043_SRR32861827	8044	7849	195	0.024242
0044_SRR32861832	8044	7906	138	0.017156
0045_SRR33015690	8044	7904	140	0.017404
0046_SRR33015696	8044	7896	148	0.018399
Reference	8044	8040	4	0.000497
